weighted_mean_km,max_km,median_km,coverage_1km_pct,coverage_2km_pct,coverage_3km_pct,coverage_5km_pct,p
5.4605849787921965,32.235408782958984,7.7862324714660645,4.693209972046875,11.913398275104955,21.166641575717186,47.060730801357664,5
3.9336083034346894,28.075428009033203,5.564236640930176,6.9682849008504375,19.773822813970142,38.30514319981751,71.85275046154142,10
3.188039583878996,26.281042098999023,4.422724723815918,9.16887932698984,26.64765175819442,50.917307041910504,86.18499272084449,15
2.780705637535265,23.6151180267334,3.85825514793396,11.584407969664,33.262237676208315,61.503129974315485,91.49462685309868,20
2.448599479338962,22.482500076293945,3.452136754989624,13.524424892501616,41.4854314718907,71.80454247661433,95.36433935252006,25
2.226715212007197,21.140562057495117,3.1128458976745605,15.896770690546022,47.79961408590613,77.74799067367323,97.23850817137856,30
1.8959725187955734,19.583534240722656,2.743147850036621,21.719886586128194,60.23512652302411,87.01964558790597,98.32218697441932,40
1.6898395292184467,19.023653030395508,2.3964061737060547,25.293574534507282,68.25137211351563,91.23313189679655,99.37802941938153,50
1.5185447155208043,19.023653030395508,2.2255523204803467,31.495911287299155,75.31638575228853,94.51917747836374,99.4774271114868,60
1.3068903438908617,19.023653030395508,1.8965271711349487,39.17799547362051,84.27147767899403,97.28723743641946,99.64665548764087,80
1.1658437671536919,19.023653030395508,1.728857398033142,45.95169693358016,89.24603295407772,98.7092687357456,99.76500692468503,100
1.0522323712427706,19.049108505249023,1.5615501403808594,52.58809321155674,92.90450190017027,99.0895113019784,99.77847680282642,120
0.9363719184150828,19.023653030395508,1.408679485321045,61.090380380184186,95.6755435804771,99.3833881789517,99.82065878963762,148
